communication_round,equiv_central_epoch,fed_val_loss,fed_val_acc,fed_val_f1,centralized_val_loss,centralized_val_acc,centralized_val_f1,accuracy_gap
1,2,0.6113917461403838,0.7702297702297702,0.7501890204746797,0.46716222950033137,0.8321678321678322,0.8255557882001314,0.06193806193806195
2,4,0.4889987068219142,0.8211788211788211,0.8120677954220566,0.3928121373905883,0.8591408591408591,0.8555453423721451,0.03796203796203801
3,6,0.4318159202506373,0.8311688311688312,0.8236393724699673,0.36742944153515134,0.8731268731268731,0.8715997532932214,0.04195804195804187
4,8,0.41933164782040605,0.8431568431568431,0.8360350510594412,0.34188609448941676,0.8841158841158842,0.8831296435082209,0.040959040959041015
5,10,0.38867152468129235,0.8631368631368631,0.8598988469580429,0.33830354623980335,0.8901098901098901,0.8870836708634653,0.026973026973026948
6,12,0.3767306154052337,0.8691308691308691,0.8685130697727428,0.3863476505214637,0.8821178821178821,0.8789679190369047,0.012987012987012991
7,14,0.3770605171998064,0.8791208791208791,0.8776630650822801,0.394882945896505,0.8851148851148851,0.8847602602775287,0.005994005994006013
8,16,0.36387490285383717,0.8691308691308691,0.8682002874491315,0.3477636390736887,0.8941058941058941,0.8941863962421751,0.024975024975025018
9,18,0.3671533545920184,0.8771228771228772,0.8748811295714443,0.3784496515215217,0.903096903096903,0.8994287736962598,0.02597402597402587
10,20,0.3770290986819939,0.8791208791208791,0.8784199957697085,0.39956872446553693,0.9010989010989011,0.8990956044889816,0.02197802197802201
