image_id,diagnosis,target_p,orig_p_mel,actual_p_mel,prob_error,l1_diff_01,l2_rmse_01,l1_diff_255,max_diff_255
ISIC_0030741,nv,0.1,0.0832,0.2491,0.1491,0.244998,0.293297,62.47,210.43
ISIC_0030741,nv,0.5,0.0832,0.2488,0.2512,0.245016,0.293305,62.48,210.43
ISIC_0030741,nv,0.9,0.0832,0.2489,0.6511,0.24505,0.293322,62.49,210.44
ISIC_0033762,vasc,0.1,0.0014,0.2649,0.1649,0.251168,0.303329,64.05,237.24
ISIC_0033762,vasc,0.5,0.0014,0.2624,0.2376,0.251198,0.303361,64.06,237.24
ISIC_0033762,vasc,0.9,0.0014,0.2604,0.6396,0.251236,0.303404,64.07,237.14
ISIC_0026689,nv,0.1,0.0005,0.2311,0.1311,0.260696,0.312259,66.48,221.35
ISIC_0026689,nv,0.5,0.0005,0.2334,0.2666,0.260701,0.312274,66.48,221.33
ISIC_0026689,nv,0.9,0.0005,0.2352,0.6648,0.260708,0.312296,66.48,221.3
ISIC_0031315,nv,0.1,0.0099,0.234,0.134,0.335995,0.38529,85.68,233.73
ISIC_0031315,nv,0.5,0.0099,0.2341,0.2659,0.33602,0.385313,85.69,233.92
ISIC_0031315,nv,0.9,0.0099,0.2342,0.6658,0.336042,0.385332,85.69,233.9
ISIC_0025705,nv,0.1,0.0047,0.2076,0.1076,0.226374,0.274647,57.73,228.33
ISIC_0025705,nv,0.5,0.0047,0.2084,0.2916,0.226395,0.274678,57.73,228.28
ISIC_0025705,nv,0.9,0.0047,0.2097,0.6903,0.226425,0.274722,57.74,228.27
